,LANGID,TLC,WIKI,START,LAT,LONG,#utt0,MCD0,#utt1,MCD1,Dur,MCDB,MCDR,NAME
34,ATGWYI,atg,https://en.wikipedia.org/wiki/Okpela_language,http://listen.bible.is/ATGWYI/Matt/1/D,7.15307,6.21209,4006,8.25,8144,7.66,16:29:48,5.55,5.39,Okphela
35,ATQLAI,atq,https://en.wikipedia.org/wiki/Aralle-Tabulahan_language,http://listen.bible.is/ATQLAI/Matt/1/D,-2.78397,119.319,12761,6.45,13147,6.66,30:26:18,5.41,5.29,Aralle-Tabulahan
36,AVAIBT,ava,https://en.wikipedia.org/wiki/Avar_language,http://listen.bible.is/AVAIBT/Matt/1/D,41.7047,46.558,1181,7.23,6815,6.00,13:08:45,5.03,4.90,Avar
37,AVNWBT,avn,https://en.wikipedia.org/wiki/Avatime_language,http://listen.bible.is/AVNWBT/Matt/1/D,6.8688,0.41314,3767,6.78,11528,6.33,23:52:43,5.43,5.29,Sideme
38,AVUWBT,avu,https://en.wikipedia.org/wiki/Avokaya_language,http://listen.bible.is/AVUWBT/Matt/1/D,4.38639,29.9379,1417,7.38,8718,6.89,24:44:17,5.92,5.75,Avokaya
39,AWAWTC,awa,https://en.wikipedia.org/wiki/Awadhi_language,http://listen.bible.is/AWAWTC/Matt/1/D,27.5907,82.4663,6570,7.62,5998,7.37,17:49:56,6.64,6.45,Awadhi
40,AWBTBL,awb,https://en.wikipedia.org/wiki/Awa_language_(Papua_New_Guinea),http://listen.bible.is/AWBTBL/Matt/1/D,-6.65534,145.714,4480,7.74,7769,7.78,18:25:40,6.85,6.62,Awa for Papua New Guinea
41,AYMSBU,ayr,https://en.wikipedia.org/wiki/Aymara_language,http://listen.bible.is/AYMSBU/Matt/1,-17.0,-68.5,4750,7.64,10920,7.18,18:37:02,5.78,5.58,"Aymara, Central"
42,AZEBSA,azj,https://en.wikipedia.org/wiki/Azerbaijani_language,http://listen.bible.is/AZEBSA/Matt/1/D,40.9777,46.4737,1631,8.31,5325,6.84,08:04:28,6.15,5.95,"Azərbaycan, Şimali"
43,AZGTBL,azg,https://en.wikipedia.org/wiki/Amuzgo_language,http://listen.bible.is/AZGTBL/Matt/1/D,16.5198,-98.0464,6503,7.13,7243,7.23,21:36:17,7.04,6.84,San Pedro Amuzgo
44,AZZTBL,azz,https://en.wikipedia.org/wiki/Sierra_Puebla_Nahuatl,http://listen.bible.is/AZZTBL/Matt/1/D,20.1554,-97.5556,12158,6.59,17172,6.08,36:43:32,5.05,4.94,"Nahuatl, Highland Puebla"
45,BAKIBT,bak,https://en.wikipedia.org/wiki/Bashkir_language,http://listen.bible.is/BAKIBT/Matt/1/D,53.5967,56.5594,1091,7.34,8999,6.00,14:46:01,4.95,4.82,Bashkir
46,BAMLSB,bam,https://en.wikipedia.org/wiki/Bambara_language,http://listen.bible.is/BAMLSB/Matt/1/D,12.0401,-9.98949,4307,8.21,8870,7.51,12:06:45,6.06,5.88,Bambara
47,BANIBS,ban,https://en.wikipedia.org/wiki/Balinese_language,http://listen.bible.is/BANIBS/Matt/1/D,-8.35714,115.075,13172,6.62,14666,6.42,32:14:51,4.63,4.53,Balinese
48,BAVWBT,bav,https://en.wikipedia.org/wiki/Vengo_language,http://listen.bible.is/BAVWBT/Matt/1/D,6.11403,10.4137,2891,7.50,8188,6.68,15:03:19,5.86,5.67,Babungo
49,BBABSB,bba,https://en.wikipedia.org/wiki/Bariba_language,http://listen.bible.is/BBABSB/Matt/1/D,9.63186,2.99607,3780,8.05,10694,7.22,15:38:23,6.04,5.79,Bariba
50,BBOBSB,bbo,https://en.wikipedia.org/wiki/Bobo_language,http://listen.bible.is/BBOBSB/Matt/1,12.4182,-4.47538,6983,8.12,7567,8.13,13:56:57,7.43,7.06,"Bobo Madaré, Northern"
51,BCLBPV,bcl,https://en.wikipedia.org/wiki/Central_Bikol,http://listen.bible.is/BCLBPV/Matt/1/D,13.7574,123.403,8451,7.05,12685,6.46,19:39:05,5.43,5.30,"Bicolano, Central"
52,BCWWBT,bcw,https://en.wikipedia.org/wiki/Bana_language,http://listen.bible.is/BCWWBT/Matt/1/D,10.3535,13.6131,1442,8.49,7697,7.19,11:52:01,5.94,5.77,Bana
53,BEHWBT,beh,https://en.wikipedia.org/wiki/Berba_language,http://listen.bible.is/BEHWBT/Matt/1/D,11.0382,1.08259,6072,8.03,9338,7.60,14:38:16,5.94,5.67,Biali
54,BEPLAI,bep,https://en.wikipedia.org/wiki/Badaic_language,http://listen.bible.is/BEPLAI/Matt/1/D,-1.60095,120.379,10907,6.76,11848,6.36,22:11:26,5.04,4.92,Behoa
55,BEXWBT,bex,https://en.wikipedia.org/wiki/Jur_Modo_language,http://listen.bible.is/BEXWBT/Matt/1/D,6.03321,29.974,2873,7.33,8662,6.74,16:38:14,5.70,5.46,Jur Modo
56,BFABSS,bfa,https://en.wikipedia.org/wiki/Bari_language,http://listen.bible.is/BFABSS/Matt/1/N,4.19522,31.0723,8899,5.50,11334,5.20,22:27:17,4.56,4.46,Bari
57,BFDWBT,bfd,https://en.wikipedia.org/wiki/Fut_language,http://listen.bible.is/BFDWBT/Matt/1/D,6.14153,10.1194,624,7.72,7435,7.34,17:49:18,6.12,5.95,Bafut
58,BFOBSB,bfo,https://en.wikipedia.org/wiki/Birifor_language,http://listen.bible.is/BFOBSB/Matt/1/D,9.78465,-2.90623,3073,8.11,8891,6.48,15:07:02,5.60,5.38,"Birifor, Northern"
59,BGRBBS,bgr,https://en.wikipedia.org/wiki/Bawm_language,http://listen.bible.is/BGRBBS/Matt/1/D,22.4405233333,92.92553,9792,7.30,10870,6.79,20:46:49,5.71,5.57,Bawm
60,BHZLAI,bhz,https://en.wikipedia.org/wiki/Badaic_language,http://listen.bible.is/BHZLAI/Matt/1/N,-1.80249,120.319,10848,6.26,13033,5.38,21:52:11,4.46,4.37,Bada
61,BIBWBT,bib,https://en.wikipedia.org/wiki/Bissa_language,http://listen.bible.is/BIBWBT/Matt/1/D,10.4257,-1.67332,1465,9.04,6247,7.70,09:38:14,6.55,6.22,Bissa
62,BIMWBT,bim,https://en.wikipedia.org/wiki/Moba_language,http://listen.bible.is/BIMWBT/Matt/1/D,10.4575,0.06121,5557,7.98,9576,7.01,16:31:29,5.99,5.80,Bimoba
63,BISBSP,bis,https://en.wikipedia.org/wiki/Bislama,http://listen.bible.is/BISBSP/Matt/1/D,-15.4,166.89,12026,7.34,12458,6.67,26:29:20,5.58,5.38,Bislama
64,BIVWBT,biv,https://en.wikipedia.org/wiki/Birifor_language,http://listen.bible.is/BIVWBT/Matt/1/D,9.2873,-2.72672,1257,8.65,7692,7.56,12:57:27,6.70,6.41,"Birifor, Southern"
65,BJVWYI,bjv,https://en.wikipedia.org/wiki/Doba_language,http://listen.bible.is/BJVWYI/Matt/1/D,8.60006,17.2691,1402,8.14,6711,7.03,10:49:30,6.06,5.84,Nangnda
66,BKVWYI,bkv,https://en.wikipedia.org/wiki/Bekwarra_language,http://listen.bible.is/BKVWYI/Matt/1/D,6.73737,8.86489,8344,7.74,11999,7.31,19:36:59,5.89,5.67,Bekwarra
67,BLTEPI,blt,https://en.wikipedia.org/wiki/Tai_Dam_language,http://listen.bible.is/BLTEPI/Matt/1/D,18.9572,102.928,2016,6.44,8933,5.59,17:18:11,4.97,4.86,Tai Dam
68,BLZLAI,blz,https://en.wikipedia.org/wiki/Balantak_language,http://listen.bible.is/BLZLAI/Matt/1/D,-0.86809,123.289,10864,6.35,13459,6.08,23:19:10,4.83,4.74,Balantak
69,BMQBSM,bmq,https://en.wikipedia.org/wiki/Bomu_language,http://listen.bible.is/BMQBSM/Matt/1/D,12.3816,-4.538,6755,8.06,9267,7.05,14:19:55,6.04,5.89,Boomu
70,BMVCAB,bmv,https://en.wikipedia.org/wiki/Bum_language,http://listen.bible.is/BMVCAB/Matt/1/D,6.48655,10.418,4418,7.38,9206,6.41,18:10:38,5.78,5.55,Bum
71,BNGWTC,ben,https://en.wikipedia.org/wiki/Bengali_language,http://listen.bible.is/BNGWTC/Matt/1/D,24.0,90.0,4574,7.93,3918,8.06,16:27:59,7.73,7.49,Bengali
72,BOATBL,boa,https://en.wikipedia.org/wiki/Bora_language,http://listen.bible.is/BOATBL/Matt/1/D,-2.91467,-68.9093,5014,6.53,12841,5.80,26:22:01,4.70,4.62,Bora
73,BOJWBT,boj,https://en.wikipedia.org/wiki/Anjam_language,http://listen.bible.is/BOJWBT/Matt/1/D,-5.45899,145.717,11983,6.78,20806,6.22,30:54:55,4.95,4.84,Anjam
74,BOVWBT,bov,https://en.wikipedia.org/wiki/Bowili_language,http://listen.bible.is/BOVWBT/Matt/1/N,7.31095,0.38008,3608,7.33,10337,6.23,18:17:40,5.45,5.27,Tuwuli
75,BOXWYI,box,https://en.wikipedia.org/wiki/Buamu_language,http://listen.bible.is/BOXWYI/Matt/1/D,11.1687,-3.50303,5206,8.36,9817,8.12,17:11:37,6.79,6.52,Buamu
76,BPRWYI,bpr,https://en.wikipedia.org/wiki/Blaan_language,http://listen.bible.is/BPRWYI/Matt/1/D,6.20529,125.007,8124,6.91,10094,6.39,17:29:34,5.64,5.44,Koronadal Blaan
77,BPSWPS,bps,https://en.wikipedia.org/wiki/Blaan_language,http://listen.bible.is/BPSWPS/Matt/1/D,6.03691,125.354,6269,7.05,11705,6.48,22:03:52,5.48,5.35,Sarangani Blaan
78,BQCSIM,bqc,https://en.wikipedia.org/wiki/Boko_language,http://listen.bible.is/BQCSIM/Matt/1/D,10.5189,3.71771,1913,7.73,6015,6.95,07:23:32,5.95,5.74,Boo
79,BQJATB,bqj,https://en.wikipedia.org/wiki/Bandial_language,http://listen.bible.is/BQJATB/Matt/1/D,12.5258,-16.4245,9857,7.72,11458,6.99,20:20:29,5.64,5.41,Bandial
80,BQPSIM,bqp,https://en.wikipedia.org/wiki/Busa_language_(Mande),http://listen.bible.is/BQPSIM/Matt/1/D,9.91074,4.39929,4389,7.66,10570,6.69,14:17:39,5.60,5.36,Bisã
81,BRUNXB,bru,https://en.wikipedia.org/wiki/Bru_language,http://listen.bible.is/BRUNXB/Matt/1/D,17.1311,105.671,4682,7.57,17964,6.34,25:17:49,5.28,4.99,Bru Eastern
82,BSSWBT,bss,https://en.wikipedia.org/wiki/Manenguba_language,http://listen.bible.is/BSSWBT/Matt/1/D,4.9243,9.65522,993,8.48,8366,7.24,13:50:56,5.98,5.78,Akoose
83,BTDLAI,btd,https://en.wikipedia.org/wiki/Batak_Dairi_language,http://listen.bible.is/BTDLAI/Matt/1/D,2.51438,98.2427,7175,7.41,10744,6.11,17:15:49,5.17,5.01,Bahasa Pakpak Dairi
84,BTSLAI,bts,https://en.wikipedia.org/wiki/Batak_Simalungun_language,http://listen.bible.is/BTSLAI/Matt/1/D,3.04372,98.9083,11003,6.99,12407,6.41,22:59:18,5.60,5.42,Batak Simalungun
85,BTTPDT,btt,https://en.wikipedia.org/wiki/Bete-Bendi_language,http://listen.bible.is/BTTPDT/Matt/1/D,6.62037,9.20189,10200,9.30,10783,9.10,20:01:47,7.26,6.94,Bete-Bendi
86,BTXLAI,btx,https://en.wikipedia.org/wiki/Batak_Karo_language,http://listen.bible.is/BTXLAI/Matt/1/D,2.12787,98.2517,12568,6.22,13545,6.17,22:01:33,5.24,5.09,Batak Karo
87,BUDIBS,bud,https://en.wikipedia.org/wiki/Ntcham_language,http://listen.bible.is/BUDIBS/Matt/1/D,9.23971,0.599275,1178,9.02,4044,8.79,08:26:50,7.65,7.27,Bassar Ntcham
88,BUSSIM,bus,https://en.wikipedia.org/wiki/Busa_language_(Mande),http://listen.bible.is/BUSSIM/Matt/1/D,9.52724,3.80058,3639,7.82,10506,6.87,14:13:44,5.47,5.20,Bokobaru
89,BWQBSB,bwq,https://en.wikipedia.org/wiki/Bobo_language,http://listen.bible.is/BWQBSB/Matt/1/D,11.5409,-4.26497,2488,8.21,9744,7.62,15:18:05,6.60,6.29,"Bobo Madare, Southern"
90,BWUTBL,bwu,https://en.wikipedia.org/wiki/Buli_language_(Ghana),http://listen.bible.is/BWUTBL/Matt/1/D,10.5763,-1.26748,9307,7.48,11769,7.31,24:56:07,6.11,5.86,Buli
91,BZHPNG,bzh,https://en.wikipedia.org/wiki/Mapos_Buang_language,http://listen.bible.is/BZHPNG/Matt/1/D,-6.86672,146.774,7775,6.50,13537,5.76,23:48:20,4.88,4.77,"Buang, Central"
92,BZJBSW,bzj,https://en.wikipedia.org/wiki/Belizean_Creole,http://listen.bible.is/BZJBSW/Matt/1/D,17.3941,-88.6281,9575,7.51,11234,6.75,17:44:34,5.88,5.76,Belize Kriol
93,CK1WBT,cak,https://en.wikipedia.org/wiki/Kaqchikel_language,http://listen.bible.is/CK1WBT/Matt/1/N,14.4662,-90.9881,10334,6.35,13876,5.48,26:40:16,4.93,4.82,Cakchiquel Santo Domingo Xenacoj
94,CAAWBT,caa,https://en.wikipedia.org/wiki/Ch%E2%80%99orti%E2%80%99_language,http://listen.bible.is/CAAWBT/Matt/1/D,14.818,-89.2363,9052,6.68,12675,6.42,31:51:53,5.04,4.95,Chorti
95,CABNVS,cab,https://en.wikipedia.org/wiki/Garifuna_language,http://listen.bible.is/CABNVS/Matt/1/D,15.3529,-86.9091,6274,7.37,7769,7.14,15:00:23,6.20,6.01,Garifuna
96,CNMRGB,cac,https://en.wikipedia.org/wiki/Chuj_language,http://listen.bible.is/CNMRGB/Matt/1/D,15.8399,-91.76,7479,7.22,16210,6.74,21:58:17,5.07,5.00,"Chuj, San Mateo Ixtatan"
97,CAPSBB,cap,https://en.wikipedia.org/wiki/Chipaya_language,http://listen.bible.is/CAPSBB/Matt/1/D,-18.73951,-67.89633,3893,7.11,11111,6.55,22:05:33,5.60,5.46,Chipaya
98,CARBSS,car,https://en.wikipedia.org/wiki/Carib_language,http://listen.bible.is/CARBSS/Matt/1/D,5.83772,-56.8323,16578,7.52,15369,7.30,23:59:01,5.59,5.41,Carib
99,CAXSBB,cax,https://en.wikipedia.org/wiki/Chiquitano_language,http://listen.bible.is/CAXSBB/Matt/1/D,-17.6354,-59.9172,5360,7.64,7678,7.34,15:31:43,6.15,5.98,Chiquitano
100,CBSBSP,cbs,https://en.wikipedia.org/wiki/Kashinawa_language,http://listen.bible.is/CBSBSP/Matt/1/D,-9.72027,-71.1733,11501,6.69,14158,6.40,33:44:38,5.43,5.25,Junikuin
101,CBTTBL,cbt,https://en.wikipedia.org/wiki/Chayahuita_language,http://listen.bible.is/CBTTBL/Matt/1/D,-5.63764,-76.8252,11796,7.79,10238,8.02,17:41:08,7.42,7.19,Shawi
102,CBVTBL,cbv,https://en.wikipedia.org/wiki/Kakwa_language,http://listen.bible.is/CBVTBL/Matt/1/D,0.88778,-69.5659,3429,7.61,4131,7.61,07:38:35,6.85,6.57,Cacua
103,CCESBM,cce,https://en.wikipedia.org/wiki/Chopi_language,http://listen.bible.is/CCESBM/Matt/1/D,-24.8327,34.1097,11196,6.62,12202,6.28,23:36:48,5.45,5.33,Txitxopi
104,CEBRPV,ceb,https://en.wikipedia.org/wiki/Cebuano_language,http://listen.bible.is/CEBRPV/Matt/1/D,8.38799,124.367,10332,7.46,11975,6.91,21:50:07,6.00,5.83,Cebuano
105,CEGNTP,ceg,https://en.wikipedia.org/wiki/Chamacoco_language,http://listen.bible.is/CEGNTP/Matt/1,-20.5899,-58.2005,6851,7.80,15943,6.53,22:26:44,5.47,5.34,Chamacoco
106,CGCTBL,cgc,https://en.wikipedia.org/wiki/Kagayanen_language,http://listen.bible.is/CGCTBL/Matt/1/D,10.4656,119.872,9660,6.94,13186,6.15,24:36:00,5.36,5.24,Kagayanen
107,CHEIBT,che,https://en.wikipedia.org/wiki/Chechen_language,http://listen.bible.is/CHEIBT/Matt/1/D,43.5,45.5,459,7.46,2527,7.08,04:46:25,6.88,6.65,Chechen
108,CHNUN1,cmn,https://en.wikipedia.org/wiki/Mandarin_Chinese,http://listen.bible.is/CHNUN1/Matt/1/D,40.0209,116.228,1968,8.42,2571,7.67,05:50:31,7.49,7.14,中文
109,CHVIBT,chv,https://en.wikipedia.org/wiki/Chuvash_language,http://listen.bible.is/CHVIBT/Matt/1/D,55.487,47.163,2119,7.45,578,7.30,01:03:03,7.00,6.79,Chuvash
110,CHZWBT,chz,https://en.wikipedia.org/wiki/Chinantecan_languages,http://listen.bible.is/CHZWBT/Matt/1/D,17.6976,-96.2249,640,8.02,3768,7.67,06:29:43,7.11,6.82,Chinantec de Ozumacin
111,CJPTJV,cjp,https://en.wikipedia.org/wiki/Cab%C3%A9car_language,http://listen.bible.is/CJPTJV/Matt/1/D,9.67031,-83.4102,4676,7.41,11428,6.18,16:24:32,5.23,5.12,Cabecar
112,CKOGIL,cko,https://en.wikipedia.org/wiki/Chakosi_language,http://listen.bible.is/CKOGIL/Matt/1/D,10.2839,0.56021,4321,7.90,8969,6.93,18:02:31,6.21,5.95,Anufo
113,CLETBL,cle,https://en.wikipedia.org/wiki/Chinantecan_languages,http://listen.bible.is/CLETBL/Matt/1/D,17.3162,-95.9265,1153,7.42,7294,6.59,11:48:49,5.48,5.30,Chinanteco de San Juan Lealao
114,CNHBSM,cme,https://en.wikipedia.org/wiki/Hakha_Chin_language,http://listen.bible.is/CNHBSM/Matt/1/D,10.1245,-4.94917,10721,6.55,12285,6.06,21:45:58,5.30,5.12,"Chin, Haka"
115,CMOWBT,cmo,https://en.wikipedia.org/wiki/Mnong_language,http://listen.bible.is/CMOWBT/Matt/1/N,12.6313,107.301,2552,6.97,8358,6.04,16:21:40,4.44,4.34,Bunong
116,CMRWBT,cmr,https://en.wikipedia.org/wiki/Mro_language,http://listen.bible.is/CMRWBT/Matt/1/D,19.71,93.995,5388,8.31,12993,7.35,23:23:02,5.55,5.38,"Chin, Mro-Khimi"
117,CNIWBT,cni,https://en.wikipedia.org/wiki/Ash%C3%A1ninka_language,http://listen.bible.is/CNIWBT/Matt/1/D,-11.9311,-73.9073,16429,7.43,13782,7.76,23:23:04,6.83,6.51,Ashaninca
118,CNKBSM,cnk,https://en.wikipedia.org/wiki/Khumi_language,http://listen.bible.is/CNKBSM/Matt/1/D,22.87125,92.9894633333,9309,7.13,11771,6.20,21:47:51,5.21,5.11,"Chin, Matu"
119,CNLTBL,cnl,https://en.wikipedia.org/wiki/Lalana-Tepinapa_Chinantec,http://listen.bible.is/CNLTBL/Matt/1/D,17.58251,-96.00645,2419,8.05,11633,7.44,14:19:30,5.90,5.68,Chinanteco de San Juan Lalana
120,CNTTBL,cnt,https://en.wikipedia.org/wiki/Chinantec_of_Tepetotutla,http://listen.bible.is/CNTTBL/Matt/1/D,17.7115,-96.5404,676,7.98,3399,7.35,05:17:04,6.90,6.65,Chinanteco de Tepetotutla
121,COEWBT,coe,https://en.wikipedia.org/wiki/Koreguaje_language,http://listen.bible.is/COEWBT/Matt/1/D,0.92316,-75.3475,5754,7.14,9910,6.61,15:50:58,5.51,5.35,Koreguaje
122,COKWBT,cok,https://en.wikipedia.org/wiki/Cora_language,http://listen.bible.is/COKWBT/Matt/1/D,22.7102,-104.7,5397,5.32,11483,5.37,29:25:55,4.62,4.51,"Cora, Santa Teresa"
123,CONWBT,con,https://en.wikipedia.org/wiki/Cof%C3%A1n_language,http://listen.bible.is/CONWBT/Matt/1/D,0.276675,-77.0643,14668,7.17,15811,6.82,22:39:24,5.32,5.22,Cofan
124,CRHIBT,crh,https://en.wikipedia.org/wiki/Crimean_Tatar_language,http://listen.bible.is/CRHIBT/Matt/1/D,45.0,34.08,1177,6.30,10701,5.36,20:06:07,4.74,4.64,Crimean Tatar
125,CRNWBT,crn,https://en.wikipedia.org/wiki/Cora_language,http://listen.bible.is/CRNWBT/Matt/1/D,22.4099,-104.467,4160,7.64,11106,6.92,21:03:54,5.54,5.43,"Cora, El Nayar"
126,CSKATB,csk,https://en.wikipedia.org/wiki/Kasa_language,http://listen.bible.is/CSKATB/Matt/1/D,12.5089,-16.5539,10433,8.19,8385,7.48,16:03:29,6.00,5.79,Jola Kasa
127,CSOTBL,cso,https://en.wikipedia.org/wiki/Sochiapam_Chinantec,http://listen.bible.is/CSOTBL/Matt/1/D,17.7985,-96.6079,1112,7.30,6085,6.10,10:23:10,5.07,4.90,Chinanteco de Sochiapan
128,CT1TEV,ctd,https://en.wikipedia.org/wiki/Tedim_language,http://listen.bible.is/CT1TEV/Matt/1/D,23.6079,93.519,8358,6.93,9712,6.61,22:13:23,5.53,5.37,"Chin, Tiddim"
